"TOKEN";"REFTEXT"
"MKG";"MILITÄRKOMMANDO GOTLAND"
"CtrSWE";"Sweden"
"108mm";"108 mm"
"FOBSWE";"Ammunitionsupplag"
"HJTRAK319V";"Hjtrak 319V Trakk 3T"
"TGB311ALOG";"Tgb 311A Log."
"TGB411BLOG";"Tgb 411B Moelven"
"RAPTGB9033";"#CMD Raptgb 9033"
"STGBM42A";"#CMD StabsTgb m/42A"
"KSPM58";"Ksp M/58"
"GRKM2939";"Grk m/29-39"
"GRKM62";"Grk m/62"
"MINRSORM1";"Minröjningsorm 1"
"KPJSM65";"Kapjäs m/65"
"HVHAUBM40";"Hv.-Haubits m/40"
"HABTSM4140";"Haubits m/4140"
"FLTPJSM37";"Fältpjäs m/37"
"FH77B";"FH 77B"
"LTGB934F";"Ltgb 934F"
"TGBM42A";"Tgb m/42A"
"PLTGB903";"Pltgb 903"
