"DICO";"TOKEN";"REFTEXT";"COMMENT";"CONTEXT";"CONSTRAINT";"DO NOT TRANSLATE";"DLC"
"EarlyLocalisation.cpp";"0";"Error";;;;;
"EarlyLocalisation.cpp";"1";"Fatal Error";;;;;
"EarlyLocalisation.cpp";"2";"Corrupted installation detected. Please verify the game cache integrity or reinstall.";;;;;
"EarlyLocalisation.cpp";"3";"You have not purchased this game.";;;;;
"EarlyLocalisation.cpp";"4";"Game did not terminate properly. Do you want to load the last known good configuration ?";;;;;
"EarlyLocalisation.cpp";"5";"Game did not terminate properly.";;;;;
"EarlyLocalisation.cpp";"6";"Unable to reset the last known good configuration file, do you want to set up the default configuration?";;;;;
"EarlyLocalisation.cpp";"7";"Connection to %1 client failed.";;;;;
"EarlyLocalisation.cpp";"8";"Game requires Windows 7 or later to run.";;;;;
"EarlyLocalisation.cpp";"9";"Checking operating system";;;;;
"EarlyLocalisation.cpp";"A";"Game requires Windows 7 SP1, please update Windows.";;;;;
"EarlyLocalisation.cpp";"B";"Only one instance of game can be launched at a time. Make sure the game is not running in the background or reboot the machine.";;;;;
"EarlyLocalisation.cpp";"C";"A dll needed to run the game is missing. Please verify the game cache integrity or reinstall.";;;;;
"EarlyLocalisation.cpp";"D";"Requested mod '%1' could not be loaded.";;;;;
"EarlyLocalisation.cpp";"F";"Some datas are missing, you should reinstall the game or its last content.";;;;;
"EarlyLocalisation.cpp";"I";"Other processus (%1.exe) has crashed. The game will now exit.";;;;;
"EarlyLocalisation.cpp";"L";"Game did not terminate properly. Do you want to disable all mods to avoid interferences ?";;;;;
"EarlyLocalisation.cpp";"M";"Game need a GPU supporting at least DirectX 11_0 level feature.\nCheck your GPU capabilities and DirectX version.";;;;;
"EarlyLocalisation.cpp";"R";"Checking the integrity of the data files is recommended. This might take several minutes.\nCheck data integrity now?";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"MKG";"MILITÄRKOMMANDO GOTLAND";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"108mm";"108 mm";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"FH77B";"FH 77B";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"CtrSWE";"Sweden";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"FOBSWE";"Ammunitionsupplag";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"GRKM62";"Grk m/62";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"KSPM58";"Ksp M/58";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"KPJSM65";"Kapjäs m/65";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"TGBM42A";"Tgb m/42A";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"GRKM2939";"Grk m/29-39";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"LTGB934F";"Ltgb 934F";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"PLTGB903";"Pltgb 903";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"STGBM42A";"#CMD StabsTgb m/42A";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"FLTPJSM37";"Fältpjäs m/37";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"HVHAUBM40";"Hv.-Haubits m/40";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"MINRSORM1";"Minröjningsorm 1";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"HABTSM4140";"Haubits m/4140";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"HJTRAK319V";"Hjtrak 319V Trakk 3T";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"RAPTGB9033";"#CMD Raptgb 9033";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"TGB311ALOG";"Tgb 311A Log.";;;;;
"GameData:/Localisation/Militar Kommando Gotland/UNITS.csv";"TGB411BLOG";"Tgb 411B Moelven";;;;;
